AYGA,GKA,GOROKA,GOROKA,Goroka,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,145.392,-6.082,5282.000,1609.950
AYLA,LAE,,LAE,LAE,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,0.000,0.000,0.000,0.000
AYMD,MAG,MADANG,MADANG,Madang,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,145.789,-5.207,20.000,6.100
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,Mount Hagen,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,144.296,-5.826,5388.000,1642.260
AYNZ,LAE,NADZAB,NADZAB,Nadzab,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,146.726,-6.570,239.000,72.850
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,Port Moresby,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,147.220,-9.443,146.000,44.500
AYRB,RAB,,RABAUL,Rabaul,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,0.000,0.000,0.000,0.000
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,Wewak,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,143.669,-3.584,19.000,5.790
BGAM,N/A,,ANGMAGSSALIK,Angmagssalik,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
BGAS,N/A,,ANGISSOQ,ANGISSOQ,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
BGAT,N/A,,APUTITEQ,APUTITEQ,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,NARSSARSSUAQ,GREENLAND,GROENLANDIA,45.427,61.161,112.000,34.140
BGCH,JCH,,CHRISTIANSHAAB,Christianshaab,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,NERLERIT INAAT,GREENLAND,GROENLANDIA,22.646,70.739,45.000,13.720
BGDB,N/A,,DANEBORG,DANEBORG,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
BGDH,N/A,,DANMARKSHAVN,Danmarkshavn,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
BGDU,N/A,,DUNDAS,DUNDAS,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
BGEM,JEG,,EGEDESMINDE,Egedesminde,GREENLAND,GROENLANDIA,0.000,0.000,0.000,0.000
